order_id,order_date,customer_id,region,product_id,category,sales,quantity
CA-2014-103800,1/3/2018,DP-13000,Central,OFF-PA-10000174,Office Supplies,16.448,2
CA-2014-112326,1/4/2018,PO-19195,Central,OFF-LA-10003223,Office Supplies,11.784,3
CA-2014-112326,1/4/2018,PO-19195,Central,OFF-ST-10002743,Office Supplies,272.736,3
CA-2014-141817,1/5/2018,MB-18085,East,OFF-AR-10003478,Office Supplies,19.536,3
CA-2014-130813,1/6/2018,LS-17230,West,OFF-PA-10002005,Office Supplies,19.44,3
CA-2014-106054,1/6/2018,JO-15145,South,OFF-AR-10002399,Office Supplies,12.78,3
CA-2014-167199,1/6/2018,ME-17320,South,TEC-PH-10004977,Technology,391.98,2
CA-2014-167199,1/6/2018,ME-17320,South,OFF-FA-10001883,Office Supplies,31.12,4
CA-2014-105417,1/7/2018,VS-21820,Central,FUR-FU-10004864,Furniture,76.728,3
CA-2014-105417,1/7/2018,VS-21820,Central,OFF-BI-10003708,Office Supplies,10.43,7
CA-2014-135405,1/9/2018,MS-17830,Central,TEC-AC-10001266,Technology,31.2,3
CA-2014-149020,1/10/2018,AJ-10780,South,FUR-FU-10000965,Furniture,51.94,1
CA-2014-157147,1/13/2018,BD-11605,West,FUR-BO-10003034,Furniture,333.999,3
CA-2014-157147,1/13/2018,BD-11605,West,OFF-AR-10003514,Office Supplies,19.9,5
CA-2014-162775,1/13/2018,CS-12250,South,OFF-EN-10001990,Office Supplies,11.36,2
CA-2014-162775,1/13/2018,CS-12250,South,OFF-EN-10001532,Office Supplies,50.94,3
CA-2014-118192,1/13/2018,MM-17920,East,OFF-PA-10002947,Office Supplies,37.408,7
CA-2014-149524,1/14/2018,BS-11590,East,FUR-BO-10003433,Furniture,61.96,4
CA-2014-103366,1/15/2018,EH-13990,South,TEC-AC-10003628,Technology,149.95,5
CA-2014-115791,1/16/2018,DL-13315,East,TEC-PH-10004614,Technology,124.2,3
CA-2014-115791,1/16/2018,DL-13315,East,OFF-LA-10001074,Office Supplies,30.072,3
CA-2014-115791,1/16/2018,DL-13315,East,OFF-BI-10001575,Office Supplies,18.588,2
CA-2014-115791,1/16/2018,DL-13315,East,FUR-FU-10001095,Furniture,127.104,6
CA-2014-123477,1/18/2018,DW-13195,West,OFF-AP-10000692,Office Supplies,64.864,4
CA-2014-146591,1/19/2018,TS-21340,West,OFF-BI-10003676,Office Supplies,32.34,10
CA-2014-146591,1/19/2018,TS-21340,West,OFF-PA-10000659,Office Supplies,56.064,4
CA-2014-146591,1/19/2018,TS-21340,West,OFF-EN-10002504,Office Supplies,108.72,5
CA-2014-146591,1/19/2018,TS-21340,West,FUR-BO-10001972,Furniture,181.47,5
CA-2014-167927,1/20/2018,XP-21865,Central,OFF-AR-10004456,Office Supplies,43.92,3
