order_id,order_date,customer_id,region,product_id,category,sales,quantity
CA-2016-142335,12/15/2020,MP-17965,Central,OFF-ST-10000036,Office Supplies,296.37,3
CA-2016-100307,12/15/2020,TC-21475,South,OFF-PA-10002552,Office Supplies,19.44,3
US-2016-127334,12/15/2020,MP-18175,West,OFF-AP-10001205,Office Supplies,87.168,2
US-2016-116442,12/15/2020,BP-11230,West,FUR-FU-10002364,Furniture,14.76,2
CA-2016-130442,12/16/2020,SF-20065,South,OFF-AP-10004859,Office Supplies,34.944,3
CA-2016-155446,12/16/2020,TN-21040,West,TEC-AC-10001445,Technology,21.21,7
CA-2016-147109,12/17/2020,AH-10075,Central,TEC-AC-10002942,Technology,165.6,3
CA-2016-131639,12/17/2020,NS-18640,West,OFF-BI-10000948,Office Supplies,11.416,1
CA-2016-131639,12/17/2020,NS-18640,West,OFF-BI-10001636,Office Supplies,13.488,2
CA-2016-155383,12/17/2020,SC-20680,West,OFF-ST-10001328,Office Supplies,46.53,3
CA-2016-147109,12/17/2020,AH-10075,Central,OFF-PA-10001972,Office Supplies,51.84,10
CA-2016-139934,12/18/2020,AY-10555,West,TEC-PH-10001552,Technology,66.976,7
CA-2016-145261,12/18/2020,AH-10120,West,TEC-PH-10004833,Technology,28.68,3
CA-2016-145919,12/18/2020,HG-14965,West,OFF-PA-10003072,Office Supplies,38.88,6
CA-2016-145919,12/18/2020,HG-14965,West,FUR-FU-10004960,Furniture,183.84,8
CA-2016-112697,12/18/2020,AH-10195,South,OFF-BI-10000778,Office Supplies,254.058,7
CA-2016-112697,12/18/2020,AH-10195,South,OFF-AP-10002684,Office Supplies,194.528,2
CA-2016-147067,12/18/2020,JD-16150,Central,FUR-FU-10000732,Furniture,18.84,3
CA-2016-145261,12/18/2020,AH-10120,West,OFF-AR-10004078,Office Supplies,18.688,4
CA-2016-145261,12/18/2020,AH-10120,West,OFF-LA-10000407,Office Supplies,15.936,4
CA-2016-145261,12/18/2020,AH-10120,West,OFF-BI-10001670,Office Supplies,45.24,4
CA-2016-145261,12/18/2020,AH-10120,West,OFF-PA-10003036,Office Supplies,11.648,2
CA-2016-145261,12/18/2020,AH-10120,West,TEC-AC-10000991,Technology,112.776,3
CA-2016-145261,12/18/2020,AH-10120,West,FUR-TA-10002530,Furniture,377.45,5
CA-2016-133795,12/18/2020,JE-15475,West,TEC-AC-10001465,Technology,72.64,2
CA-2016-133795,12/18/2020,JE-15475,West,FUR-FU-10003731,Furniture,39.92,4
CA-2016-118129,12/19/2020,CL-12565,East,FUR-FU-10004904,Furniture,303.92,5
CA-2016-134936,12/19/2020,ES-14080,West,FUR-TA-10001086,Furniture,455.97,6
CA-2016-134936,12/19/2020,ES-14080,West,OFF-BI-10000174,Office Supplies,10.44,6
CA-2016-141523,12/19/2020,MH-17440,East,OFF-BI-10000948,Office Supplies,34.248,3
US-2016-157840,12/20/2020,MC-17575,Central,OFF-PA-10003673,Office Supplies,33.9,5
CA-2016-151155,12/20/2020,AB-10255,South,FUR-FU-10001918,Furniture,18.92,4
CA-2016-151155,12/20/2020,AB-10255,South,OFF-BI-10003910,Office Supplies,15.42,2
CA-2016-168536,12/20/2020,SC-20800,South,TEC-AC-10002323,Technology,66.3,3
CA-2016-114860,12/22/2020,DN-13690,West,FUR-FU-10001934,Furniture,41.96,2
CA-2016-167507,12/22/2020,SA-20830,West,FUR-FU-10002878,Furniture,22.784,1
